date,HK.00001,HK.00002,HK.00003,HK.00005,HK.00006,HK.00011,HK.00012,HK.00016,HK.00017,HK.00027,HK.00066,HK.00101,HK.00175,HK.00267,HK.00288,HK.00386,HK.00388,HK.00669,HK.00688,HK.00700,HK.00762,HK.00823,HK.00857,HK.00883,HK.00939,HK.00941,HK.01038,HK.01044,HK.01093,HK.01109,HK.01113,HK.01177,HK.01299,HK.01398,HK.01928,HK.02007,HK.02018,HK.02020,HK.02313,HK.02318,HK.02319,HK.02382,HK.02388,HK.02628,HK.03328,HK.03988
2015-01-02,113.65,48.64,8.856416,53.03576,39.45,84.5,26.111579,91.4,23.88,39.24,20.77,17.38,1.367,11.435,3.22,4.15328,133.66,20.9525,20.1,108.28,9.78268,34.3734,7.62381,7.27,4.43198,70.165,43.015,66.30377,2.9937344,15.957762,65.13,1.86966,38.2053,4.04112,26.76,0.841,33.79,9.08,16.08,32.52484,15.0302,10.154,17.521,28.6526,5.32025,3.1591
2015-01-05,112.35,47.49,8.738146,51.93576,38.2,82.9,25.6458965,90.5,23.8,38.04,20.67,17.03,1.517,11.595,3.24,4.23328,137.96,20.9025,20.35,108.98,9.66268,34.0234,7.67381,7.29,4.45198,68.865,43.065,64.60377,2.9729012,16.816851,61.08,1.863734,37.4053,4.07112,26.31,0.941,33.94,8.96,15.88,32.09984,14.8302,10.274,17.221,27.8526,5.16025,3.1691
2015-01-06,108.95,46.89,8.631703,50.78576,37.95,81.9,25.2112595,89.5,23.76,36.24,20.37,16.73,1.557,11.415,3.23,4.11328,138.26,20.7025,20.0,115.48,9.72268,33.6734,7.46381,6.95,4.36198,67.515,43.415,63.75377,2.9937344,16.244125,58.78,1.86966,36.2553,3.98112,25.01,0.901,34.24,9.2,16.53,31.02484,14.8052,10.134,16.871,26.9526,5.01025,3.1391
2015-01-07,107.85,47.24,8.667184,50.03576,39.05,81.6,25.180214,91.1,24.12,38.04,20.57,16.68,1.587,11.375,3.22,4.11328,139.96,20.7025,19.9,119.88,9.80268,33.8234,7.50381,6.93,4.41198,70.515,43.315,62.70377,3.0458174,16.44867,57.23,1.946698,36.3053,4.02112,26.11,0.811,33.84,9.06,16.43,31.19984,15.0802,9.534,17.071,27.0526,4.86025,3.1791
2015-01-08,107.55,47.49,8.844589,50.23576,40.35,81.9,25.056032,91.4,24.44,37.39,21.12,16.78,1.647,11.515,3.19,4.14328,138.46,20.7525,19.25,122.78,9.80268,33.4234,7.71381,7.11,4.38198,72.365,44.965,64.60377,2.9781095,15.957762,54.88,2.008921,36.9553,3.99112,26.21,0.771,36.64,9.12,16.83,31.92484,15.4052,8.694,17.121,27.2026,4.82025,3.1591
2015-01-09,106.75,48.19,8.832762,50.13576,39.95,82.0,25.0870775,92.0,24.48,36.54,21.37,16.58,1.717,11.575,3.23,4.08328,137.66,21.0525,19.6,122.68,10.36268,33.6234,7.74381,7.27,4.38198,73.815,45.315,65.60377,3.108317,16.080489,56.63,2.177812,37.2053,4.00112,25.86,0.801,38.24,8.94,17.28,32.54984,15.6552,8.214,17.671,27.7026,4.76025,3.1691
2015-01-12,125.15,48.54,8.714492,50.13576,40.95,83.1,25.2112595,92.4,24.76,35.34,21.77,16.68,1.837,11.535,3.19,4.08328,139.26,21.4025,19.35,122.58,10.26268,34.0734,7.70381,7.29,4.33198,73.615,45.715,66.05377,3.0458174,15.998671,59.08,2.139293,37.2553,3.95112,25.61,0.761,37.49,8.86,17.08,32.24984,15.8552,8.294,17.571,27.6526,4.72025,3.1191
2015-01-13,125.35,48.84,8.7618,50.33576,41.2,84.3,25.2112595,96.5,24.88,36.39,22.42,16.88,1.917,11.615,3.16,4.13328,140.06,20.7525,19.25,123.28,10.64268,35.1234,7.72381,7.11,4.34198,76.165,46.065,66.40377,3.0874838,15.865,58.83,2.16596,38.1553,3.98112,26.46,0.791,39.89,9.24,18.13,32.44984,16.0052,7.794,17.621,27.9026,4.78025,3.1291
2015-01-14,124.35,49.14,8.726319,49.88576,41.8,84.9,25.118123,94.1,25.0,36.44,21.87,16.73,1.807,11.475,3.19,4.10328,138.56,20.8025,19.8,121.48,10.78268,35.4734,7.66381,7.03,4.32198,75.265,45.965,66.10377,3.1031087,15.915,56.98,2.16596,38.2553,3.95112,26.61,0.751,39.04,9.06,18.53,32.64984,15.8302,8.074,17.671,27.8026,4.73025,3.1391
2015-01-15,124.55,49.34,8.844589,49.63576,43.3,85.8,25.5838055,95.1,24.92,36.54,22.22,16.68,1.847,11.635,3.07,4.15328,138.86,20.2525,20.35,122.38,10.80268,36.1734,7.79381,7.11,4.38198,76.715,46.165,66.95377,3.0822755,16.315,55.93,2.13633,39.2553,4.01112,27.16,0.751,38.29,9.06,17.93,34.29984,16.1052,8.414,18.071,28.9026,4.85025,3.1991
2015-01-16,123.05,49.54,8.785454,49.23576,42.85,85.6,25.5838055,94.2,24.52,34.74,22.02,16.73,1.827,11.455,3.02,4.06328,138.06,20.2525,19.65,117.38,10.70268,36.3234,7.65381,7.07,4.31198,76.615,46.465,66.40377,3.0718589,15.465,56.78,2.160034,38.9053,3.95112,26.01,0.661,38.49,9.14,17.63,35.12484,16.2802,8.514,17.921,29.0026,4.89025,3.1691
2015-01-19,122.25,49.89,8.939205,48.98576,43.85,85.7,24.5903495,92.5,23.72,33.44,22.12,16.68,1.757,11.155,2.94,3.93328,135.36,19.9525,18.8,118.48,10.80268,37.4234,7.43381,7.21,4.07198,75.765,46.915,67.55377,2.9156099,14.815,57.18,2.014847,39.1053,3.72112,24.61,0.571,38.09,8.86,17.48,31.57484,16.2552,8.434,17.571,26.8526,4.33025,2.9091
2015-01-20,122.95,50.04,8.891897,49.23576,42.95,86.0,25.056032,93.4,23.84,33.39,22.42,16.63,1.817,11.355,2.94,3.98328,136.96,20.0025,19.05,119.58,10.94268,37.5734,7.48381,7.19,4.18198,76.915,46.865,68.25377,2.9051933,15.165,57.53,2.008921,38.8553,3.85112,24.46,0.581,38.64,8.5,17.98,32.77484,16.3052,8.374,17.621,28.1026,4.46025,3.0191
2015-01-21,122.55,50.04,8.785454,49.63576,42.7,86.6,25.242305,95.8,24.32,34.14,22.22,16.93,1.987,11.495,3.1,4.04328,138.16,20.5025,19.7,124.18,11.18268,38.0734,7.50381,7.17,4.30198,80.865,46.265,69.50377,3.0406091,16.065,56.03,2.029662,39.0553,3.99112,25.61,0.661,40.99,9.06,18.08,34.27484,16.4302,8.254,17.871,29.0526,4.65025,3.1291
