date,HK.00001,HK.00002,HK.00003,HK.00005,HK.00006,HK.00011,HK.00012,HK.00016,HK.00017,HK.00027,HK.00066,HK.00101,HK.00175,HK.00267,HK.00288,HK.00386,HK.00388,HK.00669,HK.00688,HK.00700,HK.00762,HK.00823,HK.00857,HK.00883,HK.00939,HK.00941,HK.01038,HK.01044,HK.01093,HK.01109,HK.01113,HK.01177,HK.01299,HK.01398,HK.01810,HK.01928,HK.02007,HK.02018,HK.02020,HK.02269,HK.02313,HK.02318,HK.02319,HK.02382,HK.02388,HK.02628,HK.03328,HK.03690,HK.03988
2019-01-24,73.916,84.63,14.0486542,60.1384,48.05,160.5,36.3817765,115.15,42.24,47.64,40.17,14.73,12.14,11.035,6.325,5.52293,222.25,40.84,25.48,328.0,8.71255,75.9561,4.59103,11.42,6.00128,76.179,57.51,52.22095,6.5770464,27.2,60.28,3.9666903,65.741,5.2678,10.0,32.57,8.5363,45.32,36.29,21.0164565,88.15,67.80922,24.797,71.528,27.143,17.91839,5.7354,43.6,3.07985
2019-01-25,74.916,83.68,14.1698648,60.7384,48.05,162.3,36.881776,117.85,42.8,49.89,40.47,14.77,12.78,11.135,6.345,5.57293,224.85,42.49,26.23,341.6,8.75255,77.4061,4.68103,11.68,6.12128,74.979,58.91,52.62095,6.6082962,26.85,61.13,3.9666903,66.941,5.3978,10.1,33.52,9.0763,46.87,36.34,21.33312,87.6,68.95922,24.847,75.078,27.593,18.69839,5.7854,47.85,3.16985
2019-01-28,73.316,83.58,14.152549,60.6884,47.9,161.3,36.245413,116.85,42.56,49.44,40.57,14.85,12.6,10.975,6.335,5.68293,226.05,43.24,26.38,339.4,8.66255,78.7061,4.63103,11.66,6.18128,76.229,58.91,53.72095,6.327048,27.05,61.28,3.90669,67.341,5.3778,10.02,33.72,9.1163,46.22,38.29,20.699793,87.35,69.35922,24.647,75.078,27.393,18.59839,5.8254,47.45,3.17985
2019-01-29,72.816,83.53,14.1698648,60.7884,47.35,161.3,36.4726855,118.55,42.88,49.79,41.12,15.15,12.06,10.975,6.305,5.69293,224.05,42.89,26.23,340.2,8.65255,79.7561,4.62103,11.26,6.22128,75.829,58.36,54.22095,6.5249634,27.05,61.43,4.1600246,66.091,5.3778,9.91,34.12,9.0563,47.37,39.94,21.6831165,88.65,69.05922,23.997,74.378,27.093,18.27839,5.8554,47.5,3.17985
2019-01-30,73.016,84.63,14.1352332,61.1384,47.2,162.2,36.790867,119.65,43.44,49.74,41.07,15.33,12.06,10.935,6.225,5.85293,223.25,43.74,26.98,342.0,8.59255,79.4061,4.62103,11.42,6.24128,76.379,58.71,55.02095,6.5249634,28.1,61.53,4.1133577,66.291,5.4078,9.84,34.02,9.5563,46.37,39.74,22.1497785,87.1,69.50922,24.547,73.178,27.093,17.91839,5.8254,49.0,3.17985
2019-01-31,72.866,83.48,14.0832858,61.5384,47.15,162.3,36.9272305,120.05,44.56,52.64,41.37,15.59,12.66,11.035,6.205,5.84293,226.05,43.39,27.53,343.8,8.63255,80.3061,4.70103,11.74,6.31128,76.129,58.46,56.37095,6.7749618,28.05,61.88,4.306692,67.941,5.4878,9.84,35.31,9.8763,46.97,39.39,22.4831085,88.65,71.45922,23.847,75.628,27.193,18.35839,5.9554,53.3,3.19985
2019-02-01,73.116,83.08,14.152549,60.9384,46.9,161.7,36.9272305,118.85,45.04,53.74,40.92,15.93,12.6,10.995,6.585,5.80293,225.65,43.79,27.23,345.8,8.71255,79.4561,4.71103,11.84,6.30128,76.979,58.36,57.22095,6.8582946,27.9,60.88,4.373359,67.341,5.4478,10.44,35.16,9.8763,46.22,39.29,22.66644,92.3,72.25922,23.447,75.528,27.293,18.47839,5.9054,53.8,3.18985
2019-02-04,72.916,83.13,14.1352332,60.7884,46.75,161.3,36.8363215,119.25,44.72,53.29,40.97,16.09,12.66,10.855,6.495,5.83293,225.85,44.24,27.28,345.4,8.72255,81.0061,4.69103,11.82,6.25128,77.229,57.96,56.62095,6.743712,27.4,60.43,4.3933591,69.891,5.3978,10.36,35.31,9.8563,45.47,39.54,22.5164415,93.05,72.25922,23.897,76.528,27.243,18.35839,5.9154,54.65,3.18985
2019-02-08,72.816,84.53,14.3603386,60.6884,46.85,162.0,37.1999575,120.05,45.2,52.74,41.12,16.07,12.48,10.735,6.275,5.83293,222.85,44.04,27.13,343.4,8.63255,81.1561,4.60103,11.5,6.21128,76.179,58.41,57.22095,6.5249634,27.05,60.13,4.306692,71.491,5.3678,10.26,36.31,10.0963,46.87,40.39,23.033103,93.2,71.95922,23.297,79.428,26.893,18.21839,5.8854,57.9,3.16985
2019-02-11,74.566,84.73,14.498865,60.8384,47.35,163.3,37.2908665,120.95,45.28,53.54,41.42,16.17,13.14,10.775,6.445,5.79293,223.85,44.99,26.98,349.8,8.73255,80.9061,4.57103,11.52,6.25128,76.079,57.86,57.87095,6.639546,27.3,61.03,4.3800257,71.841,5.3678,10.7,36.61,10.0163,49.32,39.89,22.99977,92.45,72.90922,23.747,85.578,26.993,18.15839,5.8854,62.4,3.16985
